competition_year,global_award,team_name,award_verified_by_source_id,official_announcement_url
2023,Best Use of Science,LunarTech Ensemble,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Best Use of Data,Storm Prophet,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Best Use of Technology,Spacebee,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Galactic Impact,Greetings from Earth!!,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Best Mission Concept,ASTROGENESIS,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Most Inspirational,Space Quest Maidens - Donzelas da Missao Espacial,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Best Storytelling,TeamVoyagers,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Global Connection,Arcobaleno,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Art & Technology,Oogway Comics,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2023,Local Impact,$quality_over_quantity,W01,https://science.nasa.gov/directorates/smd/2023-nasa-international-space-apps-challenge-announces-10-global-winners/
2024,Best Use of Science,WMPGang,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Best Use of Data,GaamaRamma,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Best Use of Technology,42 QuakeHeroes,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Galactic Impact,NVS-knot,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Best Mission Concept,AsturExplorers,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Most Inspirational,Innovisionaries,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Best Storytelling,TerraTales,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Global Connection,Asteroid Destroyer,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Art & Technology,Connected Earth Museum,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2024,Local Impact,Team I.O.,W02,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-international-space-apps-challenge-announces-2024-global-winners/
2025,Best Use of Science,SpaceGenes+,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Best Use of Data,Resonant Exoplanets,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Best Use of Technology,Twisters,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Galactic Impact,Astro Sweepers: We Catch What Space Leaves Behind,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Best Mission Concept,PureFlow,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Most Inspirational,Photonics Odyssey,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Best Storytelling,HerCode Space,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Global Connection,Gaia+LEO,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Art & Technology,Zumorroda-X,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
2025,Local Impact,QUEÑARIS,W03,https://www.nasa.gov/learning-resources/stem-engagement-at-nasa/nasa-announces-2025-international-space-apps-challenge-global-winners/
